-,-,-
, -258, 845
15, -312, 725
-98, -320, 775
93, -330, 811
93, -330, 811
166, -305, 824
-13, -325, 1011
-5, -298, 967
-4, -297, 837
181, -241, 781
181, -241, 781
226, -166, 948
108, -177, 1004
-43, -231, 1152
77, -175, 897
76, -137, 1005
107, -130, 1109
45, -168, 1174
-67, -183, 1131
-111, -220, 985
-111, -220, 985
10, -158, 830
101, -123, 933
130, -129, 1001
54, -149, 1028
36, -196, 934
37, -203, 1018
11, -202, 1110
11, -202, 1110
4, -180, 865
65, -192, 975
46, -171, 926
59, -205, 915
62, -208, 1082
62, -208, 1082
111, -201, 1076
145, -188, 1000
